Français

# Generic

BLANK                         " "
CUSTOM                        "\1"

YES                           "Oui"
NO                            "Non"
OK                            "OK"
CANCEL                        "Annuler"
LOAD                          "Charger"
SAVE                          "Enregistrer"
ALWAYS                        "Toujours"
NEVER                         "Jamais"
ON                            "On"
OFF                           "Off"
DEFAULT                       "Défaut"
CUSTOM_LIT                    "Personnalisé"
USER_DEF                      "Défini par l'utilisateur"
UNKNOWN                       "Inconnu"
UNKNOWN_L                     "inconnu"
NONE                          "Aucun(e)"

TERRAIN                       "Terrain"
TEAMS                         "Equipes"
BARRACKS                      "Caserne"
PASSWORD                      "Mot de passe"
UTILITIES                     "Bonus"
WORMS                         "Worms"
MISSION                       "Mission"
REASON                        "Raison"

EXIT                          "Quitter"

ERROR                         "Erreur"
ERROR_L                       "erreur"
WARNING                       "Attention"
TIMEOUT                       "Dépassement du délai."

OR                            "ou"

COLOUR_RED                    "rouge"
COLOUR_BLUE                   "bleu"
COLOUR_GREEN                  "vert"
COLOUR_YELLOW                 "jaune"
COLOUR_MAGENTA                "magenta"
COLOUR_CYAN                   "turquoise"

# Common

DEFAULT_COMBO                 "*** DEFAUT ***"
PLEASEWAIT                    "Veuillez patienter... opération en cours..."
MAPLOAD                       "Charger un terrain enregistré."
CURRENT_LEVEL                 "Niveau actuel"
CM_OVERWRITE                  "Le fichier \"\1\" existe déjà. Voulez-vous l'écraser ?"
UNRECOGNIZED_COMMAND          "Commande inconnue."
H_BACK                        "Retour au menu précédent."
H_HELPPROMPT                  "Le texte d'aide apparaît ici."
H_MINIMIZE                    "Réduire le jeu."

# Various

GENERIC_ERROR                 "Erreur de système de Worms Armageddon (\1)"
ERROR_CD_START                "Veuillez insérer le CD Worms Armageddon dans votre lecteur CD-ROM avant de commencer à jouer."
ERROR_CD_MISSING              "Veuillez vérifier que le CD Worms Armageddon est dans votre lecteur CD-ROM."
ERROR_AUDIO                   "Problème d'initialisation du système audio."
ERROR_LOAD                    "Une erreur s'est produite lors de chargement des données de Worms Armageddon ; veuillez vérifier votre système."
ERROR_SAVE                    "Impossible d'enregistrer les données de Worms Armageddon. Veuillez vérifier qu'il y a assez d'espace sur votre disque dur."

LOCAL_TIME                    "Temps local"
CURRENT_LOCAL_TIME            "Le temps local actuel est \1, et la date est \2"
CURRENT_GMT_TIME              "Le temps mondial (GMT) actuel est \1, et la date est \2"

DEMO                          "Désolé"
FULLONLY                      "Cette option n'est pas disponible dans la démo."
STEAM_OVERLAY_HINT            "Pour faire fonctionner le Steam overlay, sélectionnez une API graphique basée sur Direct3D dans le menu des Options Avancées."

ADMINISTRATOR                 "Administrateur"

# Weapons

GAME_JET_PACK                 "Jet Pack"
GAME_LONG_JET_PACK            "Jet Pack"
WP_H_JETPACK                  "Jet Pack - Vers l'infini... et au-delà !"

GAME_LOWGRAVITY               "Faible pesanteur"
GAME_LONG_LOWGRAVITY          "Faible pesanteur"
WP_H_LOWGRAVITY               "Faible pesanteur - Le régime le plus rapide au monde."

GAME_FASTWALK                 "Marche rapide"
GAME_LONG_FASTWALK            "Marche rapide"
WP_H_FASTWALK                 "Marche rapide - Cours, Forrest, cours !"

GAME_LASERSIGHT               "Visée laser"
GAME_LONG_LASERSIGHT          "Visée laser"
WP_H_LASER                    "Visée laser - Au cas où votre sixième sens tombe en panne."

GAME_INVISIBILITY             "Invisibilité"
GAME_LONG_INVISIBILITY        "Invisibilité"
WP_H_INVISIBLE                "Invisibilité - D'amusantes parties de cache-cache sont à prévoir."

# This utility, implemented in a test version of Silkworm, acts like Parachute except that it changes the wind depending on whether Left or Right are held down when Space is pressed to trigger it
GAME_WINDCHANGE               "Changer le vent"
GAME_LONG_WINDCHANGE          "Changer le vent"


GAME_CRATE_SHOWER             "Pluie de caisses"
GAME_LONG_CRATE_SHOWER        "Pluie de caisses"

GAME_CRATESPY                 "Contenu des caisses"
GAME_LONG_CRATESPY            "Contenu des caisses"
WP_H_CRATESPY                 "Contenu des caisses - Lèche-vitrine à distance"

GAME_DAMAGEX2                 "Dégâts * 2"
GAME_LONG_DAMAGEX2            "Dégâts doublés"

GAME_DOUBLE_TIME              "Temps doublé"
GAME_LONG_DOUBLE_TIME         "Temps de tour doublé"


GAME_BAZOOKA                  "Bazooka"
GAME_LONG_BAZOOKA             "Bazooka"
WP_H_BAZOOKA                  "Bazooka - Tout droit sorti du supermarché."

GAME_HOMING_MISSILE           "Missile"
GAME_LONG_HOMING_MISSILE      "Missile à tête chercheuse"
WP_H_HOMER                    "Missile à tête chercheuse - Tout foyer devrait en être équipé."

GAME_MORTAR                   "Mortier"
GAME_LONG_MORTAR              "Mortier"
WP_H_MORTAR                   "Mortier - Shrapnel city."

GAME_HOMING_PIGEON            "Pigeon"
GAME_LONG_HOMING_PIGEON       "Pigeon à tête chercheuse"
WP_HOMINGPIGEON               "Pigeon à tête chercheuse"
WP_H_PIGEON                   "Pigeon à tête chercheuse - Pas très fin, mais vraiment efficace."

GAME_SHEEP_LAUNCHER           "Lance-moutons"
GAME_LONG_SHEEP_LAUNCHER      "Lance-moutons"
WP_SHEEPGUN                   "Lance-moutons"
WP_H_SHEEPLAUNCHER            "Lance-moutons - Propulse votre mouton dans des endroits lointains."


GAME_GRENADE                  "Grenade"
GAME_LONG_GRENADE             "Grenade"
WP_H_GRENADE                  "Grenade - Modèle standard."

GAME_CLUSTER_BOMB             "Bombe à fragm."
GAME_LONG_CLUSTER_BOMB        "Bombe à fragmentation"
WP_H_CLUSTER                  "Bombe à fragmentation - Un outil d'explosion enchanteresse qui tient dans la main !"

GAME_BANANA_BOMB              "Bombe banane"
GAME_LONG_BANANA_BOMB         "Bombe banane"
WP_H_BANANA                   "Bombe banane - Fruit à la chair explosive."

GAME_AXE                      "Hache de guerre"
GAME_LONG_AXE                 "Hache de guerre"
WP_H_AXE                      "Hache de guerre - Pour les fendre en deux !"

GAME_EARTH_QUAKE              "Séisme"
GAME_LONG_EARTH_QUAKE         "Séisme"
WP_H_QUAKE                    "Tremblement de terre - Une stratégie sans faille."

GAME_HOMING_CLUSTER           "Bombe à fragm. télég."
GAME_LONG_HOMING_CLUSTER      "Bombe à fragments téléguidés"


GAME_SHOTGUN                  "Fusil"
GAME_LONG_SHOTGUN             "Fusil de chasse"
WP_H_SHOTGUN                  "Fusil de chasse - Deux barillets, deux fois plus de plaisir."

GAME_HANDGUN                  "Pistolet"
GAME_LONG_HANDGUN             "Pistolet"
WP_H_HANDGUN                  "Pistolet - Allez, fais-moi plaisir."

GAME_UZI                      "Uzi"
GAME_LONG_UZI                 "Uzi"
WP_H_UZI                      "Uzi - Uzi 9 mm !"

GAME_MINIGUN                  "Minicanon"
GAME_LONG_MINIGUN             "Minicanon"
WP_H_MINIGUN                  "Minicanon - Pas si petit que vous ne le pensez."

GAME_LONGBOW                  "Arc"
GAME_LONG_LONGBOW             "Arc"
WP_H_LONGBOW                  "Arc - Robin qui ?"


GAME_FIRE_PUNCH               "Punch"
GAME_LONG_FIRE_PUNCH          "Coup de poing de feu"
WP_H_FIREPUNCH                "Coup de poing de feu - Uppercut frappant."

GAME_DRAGON_BALL              "D. Ball"
GAME_LONG_DRAGON_BALL         "Dragon Ball"
WP_H_DRAGONBALL               "Dragon Ball - Invoque une boule d'énergie ancestrale !"

GAME_KAMIKAZE                 "Kamikaze"
GAME_LONG_KAMIKAZE            "Kamikaze"
WP_H_KAMAKAZI                 "Kamikaze - La mort ou la gloire."

GAME_SUICIDE_BOMBER           "Bombardier kamikaze"
GAME_LONG_SUICIDE_BOMBER      "Bombardier kamikaze"
WP_H_SUICIDE                  "Bombardier kamikaze - J'ai des vers à revendre !"

GAME_PROD                     "Poussée"
GAME_LONG_PROD                "Poussée"
WP_H_PROD                     "Poussée - Y a pas à dire, ils ont un sacré sang-froid..."


GAME_DYNAMITE                 "Dynamite"
GAME_LONG_DYNAMITE            "Dynamite"
WP_H_DYNAMITE                 "Dynamite - Elle a la côte."

GAME_MINE                     "Mine"
GAME_LONG_MINE                "Mine"
WP_H_MINE                     "Mine - Regardez bien où vous mettez les pieds."

GAME_SHEEP                    "Mouton"
GAME_LONG_SHEEP               "Mouton"
WP_H_SHEEP                    "Mouton - Le mammifère explosif original."

GAME_SUPER_SHEEP              "Super mouton"
GAME_LONG_SUPER_SHEEP         "Super mouton"
WP_SUPERSHEEP                 "Super mouton"
WP_H_SUPERSHEEP               "Super mouton - L'incroyable mouton volant !"

GAME_AQUA_SHEEP               "Mouton aquatique"
GAME_LONG_AQUA_SHEEP          "Mouton aquatique"

GAME_MOLE_BOMB                "Bombe taupe"
GAME_LONG_MOLE_BOMB           "Bombe taupe"
WP_MOLEBOMB                   "Bombe taupe"
WP_H_MOLEBOMB                 "Bombe taupe - La pelle mobile par excellence."


GAME_AIR_STRIKE               "Raid aérien"
GAME_LONG_AIR_STRIKE          "Raid aérien"
WP_H_AIRSTRIKE                "Raid aérien - La mort tombe du ciel."

GAME_NAPALM_STRIKE            "Napalm"
GAME_LONG_NAPALM_STRIKE       "Attaque au napalm"
WP_H_NAPALM                   "Attaque au napalm - Apocalypse now !"

GAME_POSTAL_STRIKE            "Att. postale"
GAME_LONG_POSTAL_STRIKE       "Attaque postale"
WP_H_POSTAL                   "Attaque postale - Facteurs en colère."

GAME_MINE_STRIKE              "Attaque à la mine"
GAME_LONG_MINE_STRIKE         "Attaque à la mine"
WP_H_MINESTRIKE               "Attaque à la mine - Munitions d'occasion."

GAME_MOLE_SQUADRON            "Escadron de taupes"
GAME_LONG_MOLE_SQUADRON       "Escadron de taupes"
WP_H_MOLESQUAD                "Escadron de taupes - Déterrez vos ennemis."

GAME_HOMING_STRIKE            "Raid aérien"
GAME_LONG_HOMING_STRIKE       "Attaque aérienne radioguidée"

GAME_WORM_STRIKE              "Attaque de vers"
GAME_LONG_WORM_STRIKE         "Attaque de vers"


GAME_BLOW_TORCH               "Chalumeau"
GAME_LONG_BLOW_TORCH          "Chalumeau"
WP_H_BLOWTORCH                "Chalumeau - Arme préférée des lâches du côté obscur."

GAME_PNEUMATIC_DRILL          "Foreuse"
GAME_LONG_PNEUMATIC_DRILL     "Foreuse pneumatique"
WP_H_DRILL                    "Foreuse pneumatique - Percer ou transpercer !"

