Polski

# Generic

BLANK                         " "
CUSTOM                        "\1"

YES                           "Tak"
NO                            "Nie"
OK                            "OK"
CANCEL                        "Anuluj"
LOAD                          "Wczytaj"
SAVE                          "Zapisz"
ALWAYS                        "Zawsze"
NEVER                         "Nigdy"
ON                            "Wl"
OFF                           "Wyl"
DEFAULT                       "Standardowe"
CUSTOM_LIT                    "Wlasne"
USER_DEF                      "Zdefiniowane przez gracza"
UNKNOWN                       "Nieznane"
UNKNOWN_L                     "nieznane"
NONE                          "Brak"

TERRAIN                       "Plansza"
TEAMS                         "Druzyny"
BARRACKS                      "Koszary"
PASSWORD                      "Haslo"
UTILITIES                     "Narzedzia"
WORMS                         "Robaki"
MISSION                       "Misja"
REASON                        "Powod"

EXIT                          "Wstecz"

ERROR                         "Blad"
ERROR_L                       "blad"
WARNING                       "Ostrzezenie"
TIMEOUT                       "Blad polaczenia"

OR                            "lub"

COLOUR_RED                    "czerwony"
COLOUR_BLUE                   "niebieski"
COLOUR_GREEN                  "zielony"
COLOUR_YELLOW                 "zolty"
COLOUR_MAGENTA                "fuksja"
COLOUR_CYAN                   "turkusowy"

# Common

DEFAULT_COMBO                 "*** DOMYSLNE ***"
PLEASEWAIT                    "Prosze poczekac..."
MAPLOAD                       "Wczytaj zapisana plansze"
CURRENT_LEVEL                 "Obecny poziom"
CM_OVERWRITE                  "Plik \"\1\" juz istnieje. Nadpisac?"
UNRECOGNIZED_COMMAND          "Nierozpoznana komenda."
H_BACK                        "Wroc do poprzedniego menu."
H_HELPPROMPT                  "Tutaj pojawia sie tekst pomocy."
H_MINIMIZE                    "Zminimalizuj gre."

# Various

GENERIC_ERROR                 "Worms Armageddon - blad systemowy (\1)"
ERROR_CD_START                "Przed rozpoczeciem gry wloz plyte z Worms Armageddon do Twojej stacji dyskow."
ERROR_CD_MISSING              "Upewnij sie, ze plyta z Worms Armageddon znajduje sie w Twojej stacji dyskow."
ERROR_AUDIO                   "Wystapil problem podczas inicjalizacji systemu audio."
ERROR_LOAD                    "Wystapil blad zwiazany z plikami gry Worms Armageddon."
ERROR_SAVE                    "Blad podczas zapisu danych gry Worms Armageddon. Upewnij sie, ze masz wystarczajaco duzo wolnego miejsca na dysku twardym."

LOCAL_TIME                    "Czas lokalny"
CURRENT_LOCAL_TIME            "Aktualny czas lokalny - \1, data - \2"
CURRENT_GMT_TIME              "Aktualny czas na swiecie (GMT) - \1, data - \2"

DEMO                          "Przepraszamy"
FULLONLY                      "Ta mozliwosc nie jest dostepna w wersji demo."
STEAM_OVERLAY_HINT            "Nakladka Steam zadziala tylko przy wybraniu ustawien graficznych Direct3D. (Zmienisz to w zaawansowanych ustawieniach gry.)"

ADMINISTRATOR                 "Administrator"

# Weapons

GAME_JET_PACK                 "Jet Pack"
GAME_LONG_JET_PACK            "Jet Pack"
WP_H_JETPACK                  "Jet Pack - Na koniec swiata i jeszcze dalej!"

GAME_LOWGRAVITY               "Low Gravity"
GAME_LONG_LOWGRAVITY          "Low Gravity"
WP_H_LOWGRAVITY               "Low Gravity - Najszybsza dieta, kiedykolwiek."

GAME_FASTWALK                 "Fast Walk"
GAME_LONG_FASTWALK            "Fast Walk"
WP_H_FASTWALK                 "Fast Walk - Biegnij, Forrest, biegnij!"

GAME_LASERSIGHT               "Celownik Laserowy"
GAME_LONG_LASERSIGHT          "Celownik Laserowy"
WP_H_LASER                    "Laser Sight - Gdy szosty zmysl Ci nie wystarcza."

GAME_INVISIBILITY             "Niewidzialnosc"
GAME_LONG_INVISIBILITY        "Niewidzialnosc"
WP_H_INVISIBLE                "Niewidzialnosc - Zabawa w chowanego na polu walki."

# This utility, implemented in a test version of Silkworm, acts like Parachute except that it changes the wind depending on whether Left or Right are held down when Space is pressed to trigger it
GAME_WINDCHANGE               "Zmiana Wiatru"
GAME_LONG_WINDCHANGE          "Zmiana Wiatru"


GAME_CRATE_SHOWER             "Deszcz Skrzynek"
GAME_LONG_CRATE_SHOWER        "Deszcz Skrzynek"

GAME_CRATESPY                 "Podglad Skrzynek"
GAME_LONG_CRATESPY            "Podglad Skrzynek"
WP_H_CRATESPY                 "Podglad Skrzynek - Zajrzyj kotku co tam w środku."

GAME_DAMAGEX2                 "x2 DAMAGE"
GAME_LONG_DAMAGEX2            "x2 DAMAGE"

GAME_DOUBLE_TIME              "Podwojny Czas Tury"
GAME_LONG_DOUBLE_TIME         "Podwojny Czas Tury"


GAME_BAZOOKA                  "Bazooka"
GAME_LONG_BAZOOKA             "Bazooka"
WP_H_BAZOOKA                  "Bazooka - Swiezo z lokalnego supermarketu."

GAME_HOMING_MISSILE           "Rakieta"
GAME_LONG_HOMING_MISSILE      "Rakieta"
WP_H_HOMER                    "Rakieta - Przyda sie w kazdym domu."

GAME_MORTAR                   "Mozdzierz"
GAME_LONG_MORTAR              "Mozdzierz"
WP_H_MORTAR                   "Mozdzierz - Odlamkowe miasto."

GAME_HOMING_PIGEON            "Golab"
GAME_LONG_HOMING_PIGEON       "Golab"
WP_HOMINGPIGEON               "Golab"
WP_H_PIGEON                   "Golab - Troche glupi, za to jaki uzyteczny!"

GAME_SHEEP_LAUNCHER           "Wyrzutnia Owiec"
GAME_LONG_SHEEP_LAUNCHER      "Wyrzutnia Owiec"
WP_SHEEPGUN                   "Wyrzutnia Owiec"
WP_H_SHEEPLAUNCHER            "Wyrzutnia Owiec - Wyslij swoja owce w dalekie miejsca."


GAME_GRENADE                  "Granat"
GAME_LONG_GRENADE             "Granat"
WP_H_GRENADE                  "Granat - Dobrze znany i lubiany."

GAME_CLUSTER_BOMB             "Granat Odlamkowy"
GAME_LONG_CLUSTER_BOMB        "Granat Odlamkowy"
WP_H_CLUSTER                  "Granat Odlamkowy - Garsc wybuchowej radosci."

GAME_BANANA_BOMB              "Banana Bomb"
GAME_LONG_BANANA_BOMB         "Banana Bomb"
WP_H_BANANA                   "Banana Bomb - Wybuchowy i miekki owoc."

GAME_AXE                      "Topor"
GAME_LONG_AXE                 "Topor"
WP_H_AXE                      "Topor - Przetnij ich na pol!"

GAME_EARTH_QUAKE              "Trzesienie Ziemi"
GAME_LONG_EARTH_QUAKE         "Trzesienie Ziemi"
WP_H_QUAKE                    "Trzesienie Ziemi - To wszystko Twoja wina."

GAME_HOMING_CLUSTER           "Samonapr. Granat Odlamkowy"
GAME_LONG_HOMING_CLUSTER      "Samonapr. Granat Odlamkowy"


GAME_SHOTGUN                  "Pistolecik"
GAME_LONG_SHOTGUN             "Pistolecik"
WP_H_SHOTGUN                  "Pistolecik - Dwie lufy, podwojna zabawa."

GAME_HANDGUN                  "Rewolwer"
GAME_LONG_HANDGUN             "Rewolwer"
WP_H_HANDGUN                  "Rewolwer - Dalej, zaskocz mnie."

GAME_UZI                      "Uzi"
GAME_LONG_UZI                 "Uzi"
WP_H_UZI                      "Uzi - Kaliber 9mm!"

GAME_MINIGUN                  "Minigun"
GAME_LONG_MINIGUN             "Minigun"
WP_H_MINIGUN                  "Minigun - Nie taki mini, jak Ci sie zdaje."

GAME_LONGBOW                  "Luk"
GAME_LONG_LONGBOW             "Luk"
WP_H_LONGBOW                  "Luk - Robin kto?"


GAME_FIRE_PUNCH               "Ognista Piesc"
GAME_LONG_FIRE_PUNCH          "Ognista Piesc"
WP_H_FIREPUNCH                "Ognista Piesc - Zasadz mu z sierpowego."

GAME_DRAGON_BALL              "Smocza Kula"
GAME_LONG_DRAGON_BALL         "Smocza Kula"
WP_H_DRAGONBALL               "Smocza Kula - Przywolaj starozytna kule energii!"

GAME_KAMIKAZE                 "Kamikaze"
GAME_LONG_KAMIKAZE            "Kamikaze"
WP_H_KAMAKAZI                 "Kamikaze - Smierc lub chwala na wieki."

GAME_SUICIDE_BOMBER           "Samobojstwo"
GAME_LONG_SUICIDE_BOMBER      "Samobojstwo"
WP_H_SUICIDE                  "Samobojstwo - Mam robaka i nie zawaham sie go uzyc!"

GAME_PROD                     "Paluszek"
GAME_LONG_PROD                "Paluszek"
WP_H_PROD                     "Paluszek - Ta zniewaga krwi wymaga!"


GAME_DYNAMITE                 "Dynamit"
GAME_LONG_DYNAMITE            "Dynamit"
WP_H_DYNAMITE                 "Dynamit - Rodzinny faworyt."

GAME_MINE                     "Mina"
GAME_LONG_MINE                "Mina"
WP_H_MINE                     "Mina - Lepiej patrz pod nogi..."

GAME_SHEEP                    "Owca"
GAME_LONG_SHEEP               "Owca"
WP_H_SHEEP                    "Owca - Oryginalny, wybuchowy ssak."

GAME_SUPER_SHEEP              "Super Owca"
GAME_LONG_SUPER_SHEEP         "Super Owca"
WP_SUPERSHEEP                 "Super Owca"
WP_H_SUPERSHEEP               "Super Owca - To samolot? Ptak? Nie, to Super Owca!"

GAME_AQUA_SHEEP               "Wodna Owca"
GAME_LONG_AQUA_SHEEP          "Wodna Owca"

GAME_MOLE_BOMB                "Krecia Bomba"
GAME_LONG_MOLE_BOMB           "Krecia Bomba"
WP_MOLEBOMB                   "Krecia Bomba"
WP_H_MOLEBOMB                 "Krecia Bomba - Niezle kopie!"


GAME_AIR_STRIKE               "Nalot"
GAME_LONG_AIR_STRIKE          "Nalot"
WP_H_AIRSTRIKE                "Nalot - Deszcz smierci."

GAME_NAPALM_STRIKE            "Nalot Napalmowy"
GAME_LONG_NAPALM_STRIKE       "Nalot Napalmowy"
WP_H_NAPALM                   "Nalot Napalmowy - Spal wszystkie chwasty!"

GAME_POSTAL_STRIKE            "Nalot Pocztowy"
GAME_LONG_POSTAL_STRIKE       "Nalot Pocztowy"
WP_H_POSTAL                   "Nalot Pocztowy - Doskonaly wybor dla sfrustrowanego listonosza."

GAME_MINE_STRIKE              "Nalot Minowy"
GAME_LONG_MINE_STRIKE         "Nalot Minowy"
WP_H_MINESTRIKE               "Nalot Minowy - Zrzedna im miny."

GAME_MOLE_SQUADRON            "Nalot Moli"
GAME_LONG_MOLE_SQUADRON       "Nalot Moli"
WP_H_MOLESQUAD                "Nalot Moli - Wykop swoich wrogow."

GAME_HOMING_STRIKE            "Nalot Samonaprowadzajacy"
GAME_LONG_HOMING_STRIKE       "Nalot Samonaprowadzajacy"

GAME_WORM_STRIKE              "Nalot Robakowy"
GAME_LONG_WORM_STRIKE         "Nalot Robakowy"


