Русский

# Generic

BLANK                         " "
CUSTOM                        "\1"

YES                           "Да"
NO                            "Нет"
OK                            "OK"
CANCEL                        "Отмена"
LOAD                          "Загрузить"
SAVE                          "Сохранить"
ALWAYS                        "Всегда"
NEVER                         "Никогда"
ON                            "Включить"
OFF                           "Выключить"
DEFAULT                       "По умолчанию"
CUSTOM_LIT                    "Вручную"
USER_DEF                      "Пользовательская"
UNKNOWN                       "Неизвестно"
UNKNOWN_L                     "неизвестно"
NONE                          "Нет"

TERRAIN                       "Карта"
TEAMS                         "Команды"
BARRACKS                      "Казарма"
PASSWORD                      "Пароль"
UTILITIES                     "Дополнительные возможности"
WORMS                         "Черви"
MISSION                       "Миссия"
REASON                        "Причина"

EXIT                          "Выход"

ERROR                         "Ошибка"
ERROR_L                       "ошибка"
WARNING                       "Предупреждение"
TIMEOUT                       "Превышено время ожидания."

OR                            "или"

COLOUR_RED                    "красный"
COLOUR_BLUE                   "синий"
COLOUR_GREEN                  "зеленый"
COLOUR_YELLOW                 "желтый"
COLOUR_MAGENTA                "сиреневый"
COLOUR_CYAN                   "бирюзовый"

# Common

DEFAULT_COMBO                 "*** ПО УМОЛЧАНИЮ ***"
PLEASEWAIT                    "Пожалуйста, подождите... Работаю..."
MAPLOAD                       "Загрузить сохраненную карту."
CURRENT_LEVEL                 "Текущий уровень"
CM_OVERWRITE                  "Файл \"\1\" уже существует. Перезаписать?"
UNRECOGNIZED_COMMAND          "Неопознанная команда"
H_BACK                        "Вернуться в предыдущее меню"
H_HELPPROMPT                  "Строка подсказки появится тут"
H_MINIMIZE                    "Свернуть игру."

# Various

GENERIC_ERROR                 "Системная Ошибка Worms Armageddon (\1)"
ERROR_CD_START                "Пожалуйста, вставьте диск с Worms Armageddon в ваш привод перед началом игры."
ERROR_CD_MISSING              "Пожалуйста, убедитесь, что диск с Worms Armageddon вставлен в ваш привод."
ERROR_AUDIO                   "Возникла проблема инициализации звука."
ERROR_LOAD                    "Возникла ошибка загрузки данных Worms Armageddon; пожалуйста, проверьте вашу систему."
ERROR_SAVE                    "Невозможно сохранить данные Worms Armageddon. Пожалуйста, убедитесь, что на вашем жёстком диске достаточно места."

LOCAL_TIME                    "Местное время"
CURRENT_LOCAL_TIME            "Местное время - \1, дата \2"
CURRENT_GMT_TIME              "Мировое (GMT) время - \1, дата \2"

DEMO                          "Извините"
FULLONLY                      "Эта возможность недоступна в демо-версии"
STEAM_OVERLAY_HINT            "Для поддержки оверлея Steam, выберите графический API на базе Direct3D на экране дополнительной настройки."

ADMINISTRATOR                 "Администратор"

# Weapons

GAME_JET_PACK                 "Реакт. ранец"
GAME_LONG_JET_PACK            "Реактивный ранец"
WP_H_JETPACK                  "Реактивный ранец"

GAME_LOWGRAVITY               "Низк. гравит."
GAME_LONG_LOWGRAVITY          "Низкая гравитация"
WP_H_LOWGRAVITY               "Низкая гравитация"

GAME_FASTWALK                 "Быстрая ходьба"
GAME_LONG_FASTWALK            "Быстрая ходьба"
WP_H_FASTWALK                 "Быстрая ходьба"

GAME_LASERSIGHT               "Лазерн. прицел"
GAME_LONG_LASERSIGHT          "Лазерный прицел"
WP_H_LASER                    "Лазерный прицел"

GAME_INVISIBILITY             "Невидимость"
GAME_LONG_INVISIBILITY        "Невидимость"
WP_H_INVISIBLE                "Невидимость"

# This utility, implemented in a test version of Silkworm, acts like Parachute except that it changes the wind depending on whether Left or Right are held down when Space is pressed to trigger it
GAME_WINDCHANGE               "Смена Ветра"
GAME_LONG_WINDCHANGE          "Смена Ветра"


GAME_CRATE_SHOWER             "Ящикопад"
GAME_LONG_CRATE_SHOWER        "Ящикопад"

GAME_CRATESPY                 "Шпион ящиков"
GAME_LONG_CRATESPY            "Шпион ящиков"
WP_H_CRATESPY                 "Шпион ящиков - давай глазеть на то, что на витринах"

GAME_DAMAGEX2                 "Урон*2"
GAME_LONG_DAMAGEX2            "Урон*2"

GAME_DOUBLE_TIME              "Двойное время"
GAME_LONG_DOUBLE_TIME         "Двойное время"


GAME_BAZOOKA                  "Базука"
GAME_LONG_BAZOOKA             "Базука"
WP_H_BAZOOKA                  "Базука - новенькая, из ближайшего супермаркета"

GAME_HOMING_MISSILE           "Радио-ракета"
GAME_LONG_HOMING_MISSILE      "Самонаводящаяся ракета"
WP_H_HOMER                    "Самонаводящаяся ракета - в каждом доме должна быть хотя бы одна"

GAME_MORTAR                   "Гранатомет"
GAME_LONG_MORTAR              "Гранатомет"
WP_H_MORTAR                   "Гранатомет - град шрапнели"

GAME_HOMING_PIGEON            "Почт. голубь"
GAME_LONG_HOMING_PIGEON       "Почтовый голубь"
WP_HOMINGPIGEON               "Почтовый голубь"
WP_H_PIGEON                   "Почтовый голубь - очень полезный, хотя и глуповатый"

GAME_SHEEP_LAUNCHER           "Овцемет"
GAME_LONG_SHEEP_LAUNCHER      "Овцемет"
WP_SHEEPGUN                   "Овцемет"
WP_H_SHEEPLAUNCHER            "Овцемет - отправьте вашу овцу в далекие края"


GAME_GRENADE                  "Граната"
GAME_LONG_GRENADE             "Граната"
WP_H_GRENADE                  "Граната - обычное дело"

GAME_CLUSTER_BOMB             "Оскол. граната"
GAME_LONG_CLUSTER_BOMB        "Осколочная граната"
WP_H_CLUSTER                  "Осколочная граната - горстка взрывчатого удовольствия"

GAME_BANANA_BOMB              "Банано-бомба"
GAME_LONG_BANANA_BOMB         "Банано-бомба"
WP_H_BANANA                   "Бананобомба - свежий взрывающийся фрукт"

GAME_AXE                      "Боевой топор"
GAME_LONG_AXE                 "Боевой топор"
WP_H_AXE                      "Топор - он разрубит любого пополам!"

GAME_EARTH_QUAKE              "Землетрясение"
GAME_LONG_EARTH_QUAKE         "Землетрясение"
WP_H_QUAKE                    "Землетрясение - это всё из-за тебя"

GAME_HOMING_CLUSTER           "Магнит-бомба"
GAME_LONG_HOMING_CLUSTER      "Самонаводящаяся осколочная граната"


GAME_SHOTGUN                  "Дробовик"
GAME_LONG_SHOTGUN             "Дробовик"
WP_H_SHOTGUN                  "Дробовик - два ствола - в два раза веселее"

GAME_HANDGUN                  "Пистолет"
GAME_LONG_HANDGUN             "Пистолет"
WP_H_HANDGUN                  "Пистолет - давай, пробирайся"

GAME_UZI                      "Узи"
GAME_LONG_UZI                 "Узи"
WP_H_UZI                      "Узи - патрон 9мм!"

GAME_MINIGUN                  "Пулемет"
GAME_LONG_MINIGUN             "Пулемет"
WP_H_MINIGUN                  "Пулемёт - слово короче, чем пулеметная очередь"

GAME_LONGBOW                  "Лук"
GAME_LONG_LONGBOW             "Лук"
WP_H_LONGBOW                  "Лук - кто тут Робин?"


GAME_FIRE_PUNCH               "Огненный удар"
GAME_LONG_FIRE_PUNCH          "Огненный удар"
WP_H_FIREPUNCH                "Огненный удар - врежьте в челюсть!"

GAME_DRAGON_BALL              "Шар дракона"
GAME_LONG_DRAGON_BALL         "Шар дракона"
WP_H_DRAGONBALL               "Шар дракона - вызовите шар древней энергии!"

GAME_KAMIKAZE                 "Камикадзе"
GAME_LONG_KAMIKAZE            "Камикадзе"
WP_H_KAMAKAZI                 "Камикадзе - слава или смерть"

GAME_SUICIDE_BOMBER           "Суицид-бомба"
GAME_LONG_SUICIDE_BOMBER      "Суицидальная бомба"
WP_H_SUICIDE                  "Суицидальная бомба - у меня есть червь, и я не побоюсь его использовать!"

GAME_PROD                     "Тычок"
GAME_LONG_PROD                "Тычок"
WP_H_PROD                     "Тычок - пощекочите чужие нервишки!"


GAME_DYNAMITE                 "Динамит"
GAME_LONG_DYNAMITE            "Динамит"
WP_H_DYNAMITE                 "Динамит - любимец нашей семьи"

GAME_MINE                     "Мина"
GAME_LONG_MINE                "Мина"
WP_H_MINE                     "Мина - следите внимательно"

GAME_SHEEP                    "Овца"
GAME_LONG_SHEEP               "Овца"
WP_H_SHEEP                    "Овца - оригинальное взрывоопасное млекопитающее"

GAME_SUPER_SHEEP              "Супер-овца"
GAME_LONG_SUPER_SHEEP         "Супер-овца"
WP_SUPERSHEEP                 "Суперовца"
WP_H_SUPERSHEEP               "Суперовца - невероятная летающая овца!"

GAME_AQUA_SHEEP               "Аква-овца"
GAME_LONG_AQUA_SHEEP          "Аква-овца"

GAME_MOLE_BOMB                "Крото-бомба"
GAME_LONG_MOLE_BOMB           "Крото-бомба"
WP_MOLEBOMB                   "Кротобомба"
WP_H_MOLEBOMB                 "Кротобомба - а ты умеешь копать?"


GAME_AIR_STRIKE               "Авиаудар"
GAME_LONG_AIR_STRIKE          "Авиаудар"
WP_H_AIRSTRIKE                "Авиаудар - смертельный дождь"

GAME_NAPALM_STRIKE            "Удар напалмом"
GAME_LONG_NAPALM_STRIKE       "Удар напалмом"
WP_H_NAPALM                   "Удар напалмом - \"Апокалипсис сегодня\"!"

GAME_POSTAL_STRIKE            "Почтовый удар"
GAME_LONG_POSTAL_STRIKE       "Почтовый удар"
WP_H_POSTAL                   "Почтовый удар - супероружие раздражённого почтальона"

GAME_MINE_STRIKE              "Минный удар"
GAME_LONG_MINE_STRIKE         "Минный удар"
WP_H_MINESTRIKE               "Минный удар - кому еще взрывающихся минок?"

GAME_MOLE_SQUADRON            "Кроты"
GAME_LONG_MOLE_SQUADRON       "Эскадрон кротов"
WP_H_MOLESQUAD                "Эскадрон кротов - выкопайте ваших врагов"

GAME_HOMING_STRIKE            "Самонаводящийся авиаудар"
GAME_LONG_HOMING_STRIKE       "Самонаводящийся авиаудар"

GAME_WORM_STRIKE              "Удар червей"
GAME_LONG_WORM_STRIKE         "Удар червей"


GAME_BLOW_TORCH               "Паяльная лампа"
GAME_LONG_BLOW_TORCH          "Паяльная лампа"
WP_H_BLOWTORCH                "Паяльная лампа - любимое оружие презренной Темной Стороны"

GAME_PNEUMATIC_DRILL          "Отб. молоток"
GAME_LONG_PNEUMATIC_DRILL     "Отбойный молоток"
WP_H_DRILL                    "Отбойный молоток - дрель или убей!"

GAME_GIRDER                   "Балка"
GAME_LONG_GIRDER              "Балка"
WP_H_GIRDER                   "Балка - мосты или преграды - выбор за тобой"

GAME_BASEBALL_BAT             "Бейсб. бита"
GAME_LONG_BASEBALL_BAT        "Бейсбольная бита"
WP_H_BASEBALLBAT              "Бейсбольная бита - выносит с поля боя"

